customer_id,age,has_partner,dependents,tenure_months,contract_type,payment_method,paperless_billing,internet_service,online_security,tech_support,streaming_tv,monthly_charges,total_charges,days_since_last_login,login_frequency,usage_drop_rate,support_tickets,satisfaction_score,churn
CUST_000001,56,No,No,17,Month-to-month,Mailed check,No,DSL,Yes,No,Yes,18.5,313.52,6,12,-6.4,0,4.0,0
CUST_000002,69,Yes,No,8,Month-to-month,Credit card,No,Fiber optic,Yes,Yes,No,31.88,247.95,3,15,21.9,3,4.0,0
CUST_000003,46,Yes,Yes,53,One year,Bank transfer,Yes,DSL,Yes,No,No,65.64,3363.76,10,13,8.1,0,5.0,0
CUST_000004,32,No,No,13,Month-to-month,Credit card,Yes,DSL,Yes,Yes,Yes,89.4,1145.82,64,13,9.1,9,5.0,1
CUST_000005,60,No,No,8,Month-to-month,Credit card,Yes,Fiber optic,No,No,Yes,27.87,215.48,8,17,-4.7,1,1.0,0
CUST_000006,25,Yes,Yes,4,Month-to-month,Electronic check,No,Fiber optic,No,No,No,40.18,156.54,8,12,11.2,1,4.0,0
CUST_000007,38,No,No,26,Two year,Mailed check,Yes,No,No internet service,No internet service,No internet service,47.48,1294.63,1,12,-50.5,0,2.0,0
CUST_000008,56,No,No,1,Month-to-month,Bank transfer,Yes,Fiber optic,No,No,No,68.94,71.32,6,22,-3.9,0,1.0,1
CUST_000009,36,Yes,No,14,Month-to-month,Credit card,No,Fiber optic,No,No,No,72.43,967.5,47,14,21.6,4,5.0,1
CUST_000010,40,Yes,No,19,One year,Mailed check,No,DSL,Yes,Yes,No,88.2,1645.41,8,19,-0.5,3,4.0,0
CUST_000011,28,No,No,9,Month-to-month,Electronic check,No,Fiber optic,No,Yes,No,44.79,389.62,1,22,-18.1,0,5.0,0
CUST_000012,28,No,No,33,One year,Bank transfer,No,No,No internet service,No internet service,No internet service,40.71,1300.63,19,14,15.5,1,4.0,0
CUST_000013,41,No,No,27,Month-to-month,Bank transfer,No,DSL,No,Yes,No,37.95,990.12,25,12,14.3,5,5.0,0
CUST_000014,70,No,No,72,One year,Credit card,No,DSL,Yes,No,No,39.12,2835.2,15,16,37.7,2,3.0,0
CUST_000015,53,No,No,17,Month-to-month,Bank transfer,Yes,DSL,No,No,Yes,45.33,745.58,5,10,19.1,3,3.0,1
CUST_000016,57,Yes,Yes,18,Month-to-month,Electronic check,No,DSL,No,Yes,No,81.3,1536.01,5,15,-13.3,2,4.0,0
CUST_000017,41,No,No,6,Month-to-month,Credit card,Yes,No,No internet service,No internet service,No internet service,60.91,354.15,12,14,-4.4,1,3.0,0
CUST_000018,20,Yes,Yes,11,Month-to-month,Bank transfer,No,No,No internet service,No internet service,No internet service,48.97,558.58,16,24,21.9,1,4.0,0
CUST_000019,39,No,No,1,One year,Bank transfer,Yes,Fiber optic,No,Yes,Yes,59.26,60.98,17,15,24.9,0,2.0,0
CUST_000020,70,No,No,28,One year,Credit card,Yes,Fiber optic,No,No,Yes,67.85,1986.96,26,11,-29.1,8,1.0,1
CUST_000021,19,Yes,Yes,8,Month-to-month,Bank transfer,No,Fiber optic,Yes,No,No,75.98,634.57,13,19,-37.2,0,3.0,0
CUST_000022,41,No,No,18,Two year,Mailed check,No,No,No internet service,No internet service,No internet service,37.74,680.61,11,15,-48.5,3,4.0,0
CUST_000023,61,Yes,Yes,7,Month-to-month,Electronic check,Yes,DSL,Yes,No,No,60.81,446.71,8,15,-21.2,3,3.0,0
CUST_000024,47,Yes,No,23,One year,Credit card,Yes,DSL,No,Yes,Yes,80.17,1919.05,26,15,9.9,5,2.0,0
CUST_000025,55,No,No,14,Month-to-month,Electronic check,Yes,Fiber optic,No,Yes,Yes,90.89,1270.0,6,17,-22.7,1,4.0,0
CUST_000026,19,Yes,Yes,15,Month-to-month,Electronic check,No,DSL,No,No,Yes,54.41,813.95,5,12,17.2,1,2.0,1
CUST_000027,38,No,No,68,Two year,Credit card,No,DSL,No,No,Yes,58.39,,22,19,34.9,0,3.0,0
CUST_000028,50,Yes,No,29,Two year,Mailed check,Yes,DSL,No,No,Yes,55.36,1606.13,6,14,-30.3,3,3.0,0
CUST_000029,29,No,No,7,Month-to-month,Electronic check,Yes,DSL,Yes,No,No,70.07,510.13,28,12,-25.6,0,5.0,0
CUST_000030,39,No,No,16,Month-to-month,Electronic check,No,No,No internet service,No internet service,No internet service,93.26,1433.58,14,19,-13.0,0,1.0,0
CUST_000031,61,No,No,15,Two year,Credit card,No,Fiber optic,Yes,Yes,No,26.68,418.23,33,16,-16.1,3,2.0,0
CUST_000032,42,No,No,38,One year,Bank transfer,No,Fiber optic,No,No,No,87.71,3494.36,2,8,-10.4,8,2.0,1
CUST_000033,66,No,No,43,One year,Mailed check,Yes,Fiber optic,No,Yes,Yes,95.71,4317.98,3,17,-16.7,3,2.0,0
CUST_000034,44,Yes,Yes,7,Month-to-month,Credit card,Yes,Fiber optic,No,No,No,68.1,485.2,36,20,57.2,0,5.0,1
CUST_000035,59,Yes,No,41,Two year,Mailed check,No,Fiber optic,Yes,No,Yes,63.88,2494.07,20,16,-4.7,1,3.0,0
CUST_000036,45,Yes,No,4,One year,Electronic check,Yes,Fiber optic,Yes,No,No,69.84,287.59,11,18,-43.5,2,5.0,0
CUST_000037,33,Yes,Yes,34,Two year,Electronic check,Yes,DSL,No,No,No,54.49,1900.55,23,24,-15.9,1,3.0,0
CUST_000038,32,No,No,6,Month-to-month,Bank transfer,No,Fiber optic,No,Yes,Yes,39.23,227.31,15,15,11.7,0,4.0,0
CUST_000039,64,Yes,Yes,8,Month-to-month,Bank transfer,Yes,Fiber optic,No,Yes,Yes,33.08,258.93,8,18,-42.7,4,3.0,0
CUST_000040,68,No,No,45,Month-to-month,Electronic check,No,No,No internet service,No internet service,No internet service,31.33,1367.99,15,19,1.2,3,2.0,0
CUST_000041,61,No,No,13,One year,Bank transfer,No,DSL,Yes,No,No,72.68,984.46,7,12,8.3,6,,0
CUST_000042,72,Yes,Yes,72,One year,Electronic check,No,No,No internet service,No internet service,No internet service,24.07,1706.49,37,12,-2.6,1,,0
CUST_000043,69,No,No,3,Month-to-month,Credit card,Yes,DSL,No,No,Yes,78.97,247.49,9,16,-20.0,0,4.0,0
CUST_000044,74,Yes,No,14,One year,Electronic check,Yes,No,No internet service,No internet service,No internet service,67.22,928.6,2,14,4.3,0,4.0,0
CUST_000045,20,No,No,31,Month-to-month,Bank transfer,No,DSL,No,Yes,No,97.57,2985.18,6,14,32.7,3,4.0,0
CUST_000046,54,Yes,No,1,Month-to-month,Bank transfer,Yes,No,No internet service,No internet service,No internet service,18.5,18.19,12,15,-1.7,0,5.0,0
CUST_000047,68,No,No,3,Month-to-month,Bank transfer,No,Fiber optic,Yes,Yes,No,70.43,218.41,7,13,-15.7,0,2.0,1
CUST_000048,24,No,No,1,Month-to-month,Mailed check,No,Fiber optic,No,No,No,42.33,41.1,38,13,4.7,0,4.0,1
CUST_000049,38,Yes,Yes,72,One year,Electronic check,Yes,No,No internet service,No internet service,No internet service,101.84,7471.72,38,16,-19.2,0,4.0,0
CUST_000050,26,Yes,Yes,34,Month-to-month,Credit card,Yes,Fiber optic,No,No,No,46.62,1518.31,12,14,11.3,2,,0
CUST_000051,56,No,No,11,Month-to-month,Electronic check,Yes,Fiber optic,No,No,No,40.43,466.82,1,16,1.0,4,4.0,0
CUST_000052,35,Yes,No,4,Month-to-month,Credit card,No,DSL,No,Yes,No,65.0,259.58,7,13,3.5,2,4.0,0
CUST_000053,21,No,No,2,Month-to-month,Electronic check,No,Fiber optic,No,Yes,Yes,47.73,91.88,13,16,28.0,4,3.0,1
CUST_000054,42,No,No,18,One year,Electronic check,No,Fiber optic,No,No,Yes,68.96,,28,10,-8.5,1,4.0,0
CUST_000055,31,Yes,No,72,Two year,Bank transfer,Yes,DSL,No,No,Yes,91.42,6305.31,3,15,-29.7,2,5.0,0
CUST_000056,67,No,No,26,Month-to-month,Mailed check,Yes,Fiber optic,No,No,Yes,45.01,1191.65,2,13,-24.3,1,4.0,0
CUST_000057,26,No,No,10,Month-to-month,Credit card,Yes,Fiber optic,Yes,Yes,No,89.78,897.04,15,18,17.1,1,3.0,0
CUST_000058,43,No,No,16,Month-to-month,Credit card,Yes,DSL,No,No,No,70.21,1081.17,4,17,-20.0,0,5.0,0
CUST_000059,70,No,No,72,One year,Credit card,Yes,Fiber optic,No,No,No,81.94,5964.62,26,11,16.6,2,3.0,0
CUST_000060,19,Yes,No,17,Month-to-month,Bank transfer,Yes,No,No internet service,No internet service,No internet service,55.32,920.7,25,19,-15.1,1,5.0,0
CUST_000061,37,Yes,Yes,72,One year,Electronic check,Yes,Fiber optic,No,Yes,No,75.8,5698.91,10,16,3.5,2,4.0,0
CUST_000062,45,No,No,1,One year,Mailed check,No,No,No internet service,No internet service,No internet service,63.27,64.25,8,18,28.0,1,3.0,0
CUST_000063,64,No,No,30,Two year,Credit card,No,DSL,Yes,No,Yes,77.68,2308.37,1,16,-25.2,5,4.0,0
CUST_000064,24,Yes,Yes,23,Two year,Electronic check,Yes,DSL,No,No,Yes,82.44,1827.71,66,17,-6.8,0,3.0,0
CUST_000065,61,No,No,27,Two year,Credit card,Yes,No,No internet service,No internet service,No internet service,71.73,1975.3,4,19,-17.9,1,,0
CUST_000066,25,Yes,No,20,Month-to-month,Bank transfer,No,No,No internet service,No internet service,No internet service,99.6,1986.57,7,13,37.9,0,2.0,1
CUST_000067,64,Yes,No,1,Month-to-month,Bank transfer,No,Fiber optic,No,No,Yes,28.5,29.21,12,17,-36.4,5,3.0,1
CUST_000068,52,No,No,3,Month-to-month,Bank transfer,No,Fiber optic,No,No,No,22.66,68.99,7,14,-26.8,4,1.0,1
CUST_000069,31,Yes,No,61,Two year,Credit card,Yes,DSL,Yes,Yes,Yes,69.78,4308.65,21,18,18.5,1,3.0,0
CUST_000070,34,No,No,6,Month-to-month,Electronic check,Yes,DSL,No,No,No,18.5,113.6,1,22,53.6,0,2.0,1
CUST_000071,53,Yes,No,72,Two year,Mailed check,No,DSL,Yes,Yes,Yes,37.93,2691.51,18,12,-11.5,10,5.0,0
CUST_000072,67,No,No,27,One year,Mailed check,No,DSL,Yes,No,No,100.94,2852.76,4,25,2.2,2,4.0,0
CUST_000073,57,Yes,Yes,14,One year,Bank transfer,No,No,No internet service,No internet service,No internet service,36.7,536.21,14,18,-5.2,4,1.0,0
CUST_000074,21,No,No,60,Month-to-month,Credit card,No,Fiber optic,No,Yes,No,96.42,5910.94,19,16,23.4,1,3.0,0
CUST_000075,19,No,No,38,Month-to-month,Electronic check,Yes,Fiber optic,Yes,Yes,Yes,111.7,4083.17,21,17,35.1,1,4.0,0
CUST_000076,23,Yes,No,13,Month-to-month,Credit card,Yes,No,No internet service,No internet service,No internet service,86.2,1155.76,12,10,12.3,1,3.0,1
CUST_000077,71,No,No,1,Two year,Bank transfer,Yes,DSL,No,No,No,87.72,86.17,17,12,-26.5,4,4.0,0
CUST_000078,59,Yes,Yes,48,One year,Bank transfer,Yes,Fiber optic,No,No,Yes,18.5,855.56,17,17,-24.8,1,4.0,0
CUST_000079,21,Yes,No,34,One year,Electronic check,No,Fiber optic,No,Yes,Yes,64.56,2232.72,1,15,14.5,0,1.0,0
CUST_000080,71,No,No,37,Two year,Bank transfer,No,Fiber optic,No,No,No,56.07,2131.36,12,12,18.7,2,2.0,0
CUST_000081,46,Yes,No,32,Month-to-month,Bank transfer,Yes,Fiber optic,No,Yes,No,51.04,1691.98,5,17,-22.3,0,2.0,0
CUST_000082,35,No,No,7,Month-to-month,Electronic check,Yes,No,No internet service,No internet service,No internet service,87.31,587.93,8,15,-3.8,4,2.0,1
CUST_000083,43,No,No,46,One year,Bank transfer,Yes,Fiber optic,Yes,No,No,86.8,3875.36,13,15,30.5,1,4.0,0
CUST_000084,61,No,No,1,Month-to-month,Electronic check,Yes,DSL,Yes,No,No,46.26,48.12,31,17,-14.1,0,4.0,0
CUST_000085,51,Yes,No,6,One year,Bank transfer,No,DSL,Yes,Yes,Yes,40.55,236.53,14,14,1.4,6,2.0,1
CUST_000086,27,Yes,No,1,Month-to-month,Bank transfer,Yes,DSL,No,No,No,25.49,25.72,7,16,21.2,1,4.0,0
CUST_000087,53,Yes,No,2,Month-to-month,Bank transfer,Yes,DSL,No,No,No,81.91,158.68,6,19,-32.8,2,4.0,0
